node,degree,degree_centrality,betweenness_centrality,eigenvector_centrality
>YB</,1,0.009523809523809525,0.0,4.471989872587759e-12
NBJ>/,1,0.009523809523809525,0.0,2.830113155683087e-11
M<FR/,1,0.009523809523809525,0.0,1.634125086592575e-15
JSWD/,1,0.009523809523809525,0.0,4.88348213898457e-12
FMX[,1,0.009523809523809525,0.0,2.51785192576889e-09
<BD/,1,0.009523809523809525,0.0,2.3929535107955693e-09
CM/,1,0.009523809523809525,0.0,1.0553745650452102e-15
CKN[,1,0.009523809523809525,0.0,1.0553745650452102e-15
NDR/,1,0.009523809523809525,0.0,1.634125086592575e-15
ZR/,1,0.009523809523809525,0.0,2.3988945152280976e-11
KLH[,1,0.009523809523809525,0.0,4.061070840876248e-16
FB<==/,1,0.009523809523809525,0.0,4.061070840876248e-16
NKR[,1,0.009523809523809525,0.0,4.061070840876248e-16
YLX[,1,0.009523809523809525,0.0,2.39084380378057e-11
KTNT/,1,0.009523809523809525,0.0,4.061070840876248e-16
RGL[,1,0.009523809523809525,0.0,1.7387609350783176e-15
CBLT/,1,0.009523809523809525,0.0,4.361865351441735e-06
KN/,1,0.009523809523809525,0.0,1.7387609350783176e-15
SHR/,1,0.009523809523809525,0.0,1.48359818592833e-15
>SR[,1,0.009523809523809525,0.0,1.48359818592833e-15
RBH[,1,0.009523809523809525,0.0,1.608339206733081e-11
JSP[,1,0.009523809523809525,0.0,1.6365894277624747e-11
>M/,1,0.009523809523809525,0.0,2.7498714843215417e-14
>B/,1,0.009523809523809525,0.0,2.7498714843215417e-14
CKB[,1,0.009523809523809525,0.0,3.506103521251884e-14
LMD[,1,0.009523809523809525,0.0,1.1305359934857863e-14
DRK[,1,0.009523809523809525,0.0,1.1305359934857863e-14
KBD[,1,0.009523809523809525,0.0,1.1305359934857863e-14
QDC/,1,0.009523809523809525,0.0,6.2298473500568064e-15
FB<[,1,0.009523809523809525,0.0,4.891726957413133e-12
>CH/,1,0.009523809523809525,0.0,2.0971150233614418e-11
CKX[,1,0.009523809523809525,0.0,4.891726957413133e-12
HR/,1,0.009523809523809525,0.0,6.2298473500568064e-15
STR[,1,0.009523809523809525,0.0,4.891726957413133e-12
XJH[,1,0.009523809523809525,0.0,4.891726957413133e-12
<PR/,1,0.009523809523809525,0.0,0.0037449540531800324
RB=/,1,0.009523809523809525,0.0,6.040166836603238e-09
JR>/,1,0.009523809523809525,0.0,1.1305359934857863e-14
C<R/,1,0.009523809523809525,0.0,2.7498714843215417e-14
PTX/,1,0.009523809523809525,0.0,2.7498714843215417e-14
CNH=/,1,0.009523809523809525,0.0,3.506103521251884e-14
DM/,1,0.009523809523809525,0.0,1.8420437197549656e-15
P<L[,1,0.009523809523809525,0.0,3.027267534370352e-15
>WN=/,1,0.009523809523809525,0.0,3.027267534370352e-15
BXR[,1,0.009523809523809525,0.0,1.0111877545801129e-11
C>WL/,1,0.009523809523809525,0.0,3.027267534370352e-15
JRD[,1,0.009523809523809525,0.0,3.027267534370352e-15
NQJ/,1,0.009523809523809525,0.0,1.8420437197549656e-15
>WR/,1,0.009523809523809525,0.0,1.0008440359096816e-14
VWB/,1,0.009523809523809525,0.0,3.387092933722758e-15
G>WN/,1,0.009523809523809525,0.0,3.032502484396529e-15
YWR/,1,0.009523809523809525,0.0,3.032502484396529e-15
CTH[,1,0.009523809523809525,0.0,1.6151573417804802e-15
XCK/,1,0.009523809523809525,0.0,1.0008440359096816e-14
CBV/,1,0.009523809523809525,0.0,6.240301026326531e-15
MVH/,1,0.009523809523809525,0.0,6.240301026326531e-15
R</,1,0.009523809523809525,0.0,3.387092933722758e-15
<MD[,1,0.009523809523809525,0.0,8.631364414682106e-16
CPL[,1,0.009523809523809525,0.0,1.5751196100666922e-15
>DM/,1,0.009523809523809525,0.0,1.5751196100666922e-15
JJN/,1,0.009523809523809525,0.0,1.6151573417804802e-15
RGL/,1,0.009523809523809525,0.0,8.631364414682106e-16
DL/,1,0.009523809523809525,0.0,8.321438589385389e-12
CPV[,1,0.009523809523809525,0.0,2.937356581014829e-16
