genre,lex_clean,frequency
Narrative,MJM/,3
Narrative,MLWKH/,3
Narrative,MRKBT/,3
Narrative,MXR/,3
Narrative,NCQ[,3
Narrative,NWX[,3
Narrative,NXM[,3
Narrative,PLCTJ/,3
Narrative,PLL[,3
Narrative,PS/,3
Narrative,QBY[,3
Narrative,QDC=/,3
Narrative,QDJM/,3
Narrative,QR<[,3
Narrative,QRB/,3
Narrative,QRB[,3
Narrative,QYJR/,3
Narrative,R>CWN/,3
Narrative,RB/,3
Narrative,RBH[,3
Narrative,RQ=/,3
Narrative,RWY[,3
Narrative,T>R/,3
Narrative,TLH[,3
Narrative,TXLH/,3
Narrative,TXT/,3
Narrative,VWB=/,3
Narrative,XDL[,3
Narrative,XKM/,3
Narrative,YRH/,3
Narrative,YW>R/,3
Narrative,YWH[,3
Narrative,Z<Q[,3
Narrative,ZQN[,3
Narrative,<CQ[,2
Narrative,<FRH=/,2
Narrative,<FR[,2
Narrative,<MD/,2
Narrative,<MWNJ/,2
Narrative,<NB/,2
Narrative,<RB[,2
Narrative,<RWH/,2
Narrative,<WP/,2
Narrative,>BD[,2
Narrative,>JB[,2
Narrative,>LMNWT/,2
Narrative,>MN[,2
Narrative,>MT/,2
Narrative,>PQ[,2
Narrative,>SJR/,2
Narrative,>WLJ,2
Narrative,>WT/,2
Narrative,>XW/,2
Narrative,B<D/,2
Narrative,B<L/,2
Narrative,BJN[,2
Narrative,BL<[,2
Narrative,BRK[,2
Narrative,BXN[,2
Narrative,BXWR/,2
Narrative,BY</,2
Narrative,CLJCJ/,2
Narrative,CLM/,2
Narrative,CMC/,2
Narrative,CNJ/,2
Narrative,CNJ=/,2
Narrative,CRT[,2
Narrative,CTH[,2
Narrative,D>G[,2
Narrative,DRC[,2
Narrative,FMX[,2
Narrative,FPH/,2
Narrative,FRJG/,2
Narrative,GB<H/,2
Narrative,GG/,2
Narrative,GPN/,2
Narrative,GWJ/,2
Narrative,GZZ[,2
Narrative,HPK[,2
Narrative,HRG[,2
Narrative,HRH/,2
Narrative,JGWN/,2
Narrative,KBD/,2
Narrative,KHN/,2
Narrative,KN=/,2
Narrative,KP/,2
Narrative,KRM/,2
Narrative,LBC[,2
Narrative,LJLH/,2
Narrative,LV=/,2
Narrative,LXM[,2
Narrative,M<L/,2
Narrative,M>H/,2
Narrative,MCJX/,2
Narrative,MCPXH/,2
Narrative,MCPXT/,2
Narrative,MCX[,2
Narrative,ML>/,2
Narrative,ML>KT/,2
Narrative,ML>[,2
Narrative,MLWN/,2
Narrative,MRH[,2
Narrative,MSPW>/,2
Narrative,MVH/,2
Narrative,MVR/,2
Narrative,NFG[,2
Narrative,NGD/,2
Narrative,NGJD/,2
Narrative,NK>T/,2
Narrative,NKH[,2
Narrative,NVC[,2
Narrative,NYB[,2
Narrative,P<M/,2
Narrative,PTJL/,2
Narrative,PTX/,2
Narrative,QCH/,2
Narrative,QCR[,2
Narrative,QNH/,2
Narrative,QRH[,2
Narrative,QVN=/,2
Narrative,QYP[,2
Narrative,R<BWN/,2
Narrative,RGL/,2
Narrative,RJQ=/,2
Narrative,RXMJM/,2
Narrative,RXY[,2
Narrative,RYY[,2
Narrative,SBB[,2
Narrative,SBJB/,2
Narrative,SXR[,2
Narrative,TCW<H/,2
Narrative,THW/,2
Narrative,VP/,2
Narrative,XBL=/,2
Narrative,XJH/,2
Narrative,XJL/,2
Narrative,XLJPH/,2
Narrative,XLL[,2
Narrative,XLP[,2
Narrative,XM=/,2
Narrative,XMM[,2
Narrative,XN/,2
Narrative,XNN[,2
Narrative,XRJC/,2
Narrative,XRVM/,2
Narrative,XSD/,2
Narrative,XZQ[,2
Narrative,Y<JP/,2
Narrative,Y<JR/,2
Narrative,Y<Q[,2
Narrative,YBR[,2
Narrative,YDQ[,2
Narrative,YHRJM/,2
Narrative,YJDH/,2
Narrative,YMX[,2
Narrative,YRJ/,2
Narrative,YRWR/,2
Narrative,YXQ[,2
Narrative,ZBX[,2
Narrative,ZHB/,2
Narrative,ZNH[,2
Narrative,ZQNJM/,2
Narrative,<BWR/,1
Narrative,<CTRT/,1
Narrative,<FR=/,1
Narrative,<FRH/,1
Narrative,<FRJM/,1
Narrative,<LH/,1
Narrative,<LJWN/,1
Narrative,<LM[,1
Narrative,<LP[,1
Narrative,<ML/,1
Narrative,<MQ/,1
Narrative,<MS[,1
Narrative,<NJ=/,1
Narrative,<WN/,1
Narrative,<Y/,1
Narrative,<YB[,1
Narrative,<YR[,1
Narrative,>BL===/,1
Narrative,>BL[,1
Narrative,>CKWL/,1
Narrative,>CM=/,1
Narrative,>CMRT/,1
Narrative,>L/,1
Narrative,>LMNH/,1
Narrative,>LM[,1
Narrative,>LP==/,1
Narrative,>LWN/,1
Narrative,>P,1
Narrative,>RXH/,1
Narrative,>SP[,1
Narrative,>TMWL/,1
Narrative,>WR[,1
Narrative,>Z,1
Narrative,>ZL[,1
Narrative,B<JR/,1
Narrative,B>R/,1
Narrative,BCL[,1
Narrative,BHL[,1
Narrative,BJN/,1
Narrative,BKJ/,1
Narrative,BKRH/,1
Narrative,BLJ<L/,1
Narrative,BRJT/,1
Narrative,BRKH/,1
Narrative,BVN/,1
Narrative,BVNH/,1
Narrative,BVX/,1
Narrative,BWZ/,1
Narrative,BZH[,1
Narrative,C<R/,1
Narrative,C>B[,1
Narrative,C>RJT/,1
Narrative,CC=/,1
Narrative,CJT[,1
Narrative,CKM[,1
Narrative,CKR[,1
Narrative,CLCWM/,1
Narrative,CLJV/,1
Narrative,CLM[,1
Narrative,CMN/,1
Narrative,CNH[,1
Narrative,CPK[,1
Narrative,CPXH/,1
Narrative,CQD/,1
Narrative,CQL/,1
Narrative,CWQ/,1
Narrative,CWR/,1
Narrative,CXD/,1
Narrative,CXR/,1
Narrative,CXT[,1
Narrative,CXV[,1
Narrative,DBC/,1
Narrative,DBH/,1
Narrative,DL/,1
Narrative,F<JR/,1
Narrative,FJB[,1
Narrative,FRP[,1
Narrative,FXV[,1
Narrative,G<R[,1
Narrative,GBH/,1
Narrative,GBH[,1
Narrative,GBWR/,1
Narrative,GLH[,1
Narrative,GLL/,1
Narrative,GLL[,1
Narrative,GLX[,1
Narrative,GML/,1
Narrative,HL>H,1
Narrative,HLM,1
Narrative,HR/,1
Narrative,J<L[,1
Narrative,J>L[,1
Narrative,JBM[,1
Narrative,JCN=[,1
Narrative,JCR/,1
Narrative,JHB[,1
Narrative,JJN/,1
