book,chapter,verse,genre,word_node,word,lex,pos,word_utf8,gloss,lex_clean
Genesis,37,12,Narrative,20391,אֶחָ֑יו,>X/,subs,אֶחָ֑יו,brother,>X/
Genesis,37,12,Narrative,20393,רְעֹ֛ות,R<H[,verb,רְעֹ֛ות,pasture,R<H[
Genesis,37,12,Narrative,20395,צֹ֥אן,Y>N/,subs,צֹ֥אן,cattle,Y>N/
Genesis,37,12,Narrative,20396,אֲבִיהֶ֖ם,>B/,subs,אֲבִיהֶ֖ם,father,>B/
Genesis,37,13,Narrative,20400,יֹּ֨אמֶר,>MR[,verb,יֹּ֨אמֶר,say,>MR[
Genesis,37,13,Narrative,20406,אַחֶ֨יךָ֙,>X/,subs,אַחֶ֨יךָ֙,brother,>X/
Genesis,37,13,Narrative,20407,רֹעִ֣ים,R<H[,verb,רֹעִ֣ים,pasture,R<H[
Genesis,37,13,Narrative,20410,לְכָ֖ה,HLK[,verb,לְכָ֖ה,walk,HLK[
Genesis,37,13,Narrative,20412,אֶשְׁלָחֲךָ֣,CLX[,verb,אֶשְׁלָחֲךָ֣,send,CLX[
Genesis,37,13,Narrative,20415,יֹּ֥אמֶר,>MR[,verb,יֹּ֥אמֶר,say,>MR[
Genesis,37,14,Narrative,20419,יֹּ֣אמֶר,>MR[,verb,יֹּ֣אמֶר,say,>MR[
Genesis,37,14,Narrative,20421,לֶךְ־,HLK[,verb,לֶךְ,walk,HLK[
Genesis,37,14,Narrative,20423,רְאֵ֜ה,R>H[,verb,רְאֵ֜ה,see,R>H[
Genesis,37,14,Narrative,20425,שְׁלֹ֤ום,CLWM/,subs,שְׁלֹ֤ום,peace,CLWM/
Genesis,37,14,Narrative,20426,אַחֶ֨יךָ֙,>X/,subs,אַחֶ֨יךָ֙,brother,>X/
Genesis,37,14,Narrative,20429,שְׁלֹ֣ום,CLWM/,subs,שְׁלֹ֣ום,peace,CLWM/
Genesis,37,14,Narrative,20431,צֹּ֔אן,Y>N/,subs,צֹּ֔אן,cattle,Y>N/
Genesis,37,14,Narrative,20433,הֲשִׁבֵ֖נִי,CWB[,verb,הֲשִׁבֵ֖נִי,return,CWB[
Genesis,37,14,Narrative,20434,דָּבָ֑ר,DBR/,subs,דָּבָ֑ר,word,DBR/
Genesis,37,14,Narrative,20436,יִּשְׁלָחֵ֨הוּ֙,CLX[,verb,יִּשְׁלָחֵ֨הוּ֙,send,CLX[
Genesis,37,14,Narrative,20438,עֵ֣מֶק,<MQ/,subs,עֵ֣מֶק,valley,<MQ/
Genesis,37,14,Narrative,20441,יָּבֹ֖א,BW>[,verb,יָּבֹ֖א,come,BW>[
Genesis,37,15,Narrative,20444,יִּמְצָאֵ֣הוּ,MY>[,verb,יִּמְצָאֵ֣הוּ,find,MY>[
Genesis,37,15,Narrative,20445,אִ֔ישׁ,>JC/,subs,אִ֔ישׁ,man,>JC/
Genesis,37,15,Narrative,20448,תֹעֶ֖ה,T<H[,verb,תֹעֶ֖ה,err,T<H[
Genesis,37,15,Narrative,20451,שָּׂדֶ֑ה,FDH/,subs,שָּׂדֶ֑ה,open field,FDH/
Genesis,37,15,Narrative,20453,יִּשְׁאָלֵ֧הוּ,C>L[,verb,יִּשְׁאָלֵ֧הוּ,ask,C>L[
Genesis,37,15,Narrative,20455,אִ֛ישׁ,>JC/,subs,אִ֛ישׁ,man,>JC/
Genesis,37,15,Narrative,20457,אמֹ֖ר,>MR[,verb,אמֹ֖ר,say,>MR[
Genesis,37,15,Narrative,20459,תְּבַקֵּֽשׁ׃,BQC[,verb,תְּבַקֵּֽשׁ,seek,BQC[
Genesis,37,16,Narrative,20461,יֹּ֕אמֶר,>MR[,verb,יֹּ֕אמֶר,say,>MR[
Genesis,37,16,Narrative,20463,אַחַ֖י,>X/,subs,אַחַ֖י,brother,>X/
Genesis,37,16,Narrative,20465,מְבַקֵּ֑שׁ,BQC[,verb,מְבַקֵּ֑שׁ,seek,BQC[
Genesis,37,16,Narrative,20466,הַגִּֽידָה־,NGD[,verb,הַגִּֽידָה,report,NGD[
Genesis,37,16,Narrative,20471,רֹעִֽים׃,R<H[,verb,רֹעִֽים,pasture,R<H[
Genesis,37,17,Narrative,20473,יֹּ֤אמֶר,>MR[,verb,יֹּ֤אמֶר,say,>MR[
Genesis,37,17,Narrative,20475,אִישׁ֙,>JC/,subs,אִישׁ֙,man,>JC/
Genesis,37,17,Narrative,20476,נָסְע֣וּ,NS<[,verb,נָסְע֣וּ,pull out,NS<[
Genesis,37,17,Narrative,20480,שָׁמַ֨עְתִּי֙,CM<[,verb,שָׁמַ֨עְתִּי֙,hear,CM<[
Genesis,37,17,Narrative,20481,אֹֽמְרִ֔ים,>MR[,verb,אֹֽמְרִ֔ים,say,>MR[
Genesis,37,17,Narrative,20482,נֵלְכָ֖ה,HLK[,verb,נֵלְכָ֖ה,walk,HLK[
Genesis,37,17,Narrative,20485,יֵּ֤לֶךְ,HLK[,verb,יֵּ֤לֶךְ,walk,HLK[
Genesis,37,17,Narrative,20487,אַחַ֣ר,>XR/,subs,אַחַ֣ר,after,>XR/
Genesis,37,17,Narrative,20488,אֶחָ֔יו,>X/,subs,אֶחָ֔יו,brother,>X/
Genesis,37,17,Narrative,20490,יִּמְצָאֵ֖ם,MY>[,verb,יִּמְצָאֵ֖ם,find,MY>[
Genesis,37,18,Narrative,20494,יִּרְא֥וּ,R>H[,verb,יִּרְא֥וּ,see,R>H[
Genesis,37,18,Narrative,20497,רָחֹ֑ק,RXWQ/,adjv,רָחֹ֑ק,remote,RXWQ/
Genesis,37,18,Narrative,20500,טֶ֨רֶם֙,VRM/,subs,טֶ֨רֶם֙,beginning,VRM/
Genesis,37,18,Narrative,20501,יִקְרַ֣ב,QRB[,verb,יִקְרַ֣ב,approach,QRB[
Genesis,37,18,Narrative,20504,יִּֽתְנַכְּל֥וּ,NKL[,verb,יִּֽתְנַכְּל֥וּ,act cunningly,NKL[
Genesis,37,18,Narrative,20507,הֲמִיתֹֽו׃,MWT[,verb,הֲמִיתֹֽו,die,MWT[
Genesis,37,19,Narrative,20509,יֹּאמְר֖וּ,>MR[,verb,יֹּאמְר֖וּ,say,>MR[
Genesis,37,19,Narrative,20510,אִ֣ישׁ,>JC/,subs,אִ֣ישׁ,man,>JC/
Genesis,37,19,Narrative,20512,אָחִ֑יו,>X/,subs,אָחִ֑יו,brother,>X/
Genesis,37,19,Narrative,20514,בַּ֛עַל,B<L/,subs,בַּ֛עַל,"lord, baal",B<L/
Genesis,37,19,Narrative,20516,חֲלֹמֹ֥ות,XLWM/,subs,חֲלֹמֹ֥ות,dream,XLWM/
Genesis,37,19,Narrative,20519,בָּֽא׃,BW>[,verb,בָּֽא,come,BW>[
Genesis,37,20,Narrative,20521,עַתָּ֣ה׀,<TH,advb,עַתָּ֣ה,now,<TH
Genesis,37,20,Narrative,20522,לְכ֣וּ,HLK[,verb,לְכ֣וּ,walk,HLK[
Genesis,37,20,Narrative,20524,נַֽהַרְגֵ֗הוּ,HRG[,verb,נַֽהַרְגֵ֗הוּ,kill,HRG[
Genesis,37,20,Narrative,20526,נַשְׁלִכֵ֨הוּ֙,CLK[,verb,נַשְׁלִכֵ֨הוּ֙,throw,CLK[
Genesis,37,20,Narrative,20528,אַחַ֣ד,>XD/,subs,אַחַ֣ד,one,>XD/
Genesis,37,20,Narrative,20530,בֹּרֹ֔ות,BWR/,subs,בֹּרֹ֔ות,cistern,BWR/
Genesis,37,20,Narrative,20532,אָמַ֕רְנוּ,>MR[,verb,אָמַ֕רְנוּ,say,>MR[
Genesis,37,20,Narrative,20533,חַיָּ֥ה,XJH/,subs,חַיָּ֥ה,wild animal,XJH/
Genesis,37,20,Narrative,20534,רָעָ֖ה,R</,adjv,רָעָ֖ה,evil,R</
Genesis,37,20,Narrative,20535,אֲכָלָ֑תְהוּ,>KL[,verb,אֲכָלָ֑תְהוּ,eat,>KL[
Genesis,37,20,Narrative,20537,נִרְאֶ֕ה,R>H[,verb,נִרְאֶ֕ה,see,R>H[
Genesis,37,20,Narrative,20539,יִּהְי֖וּ,HJH[,verb,יִּהְי֖וּ,be,HJH[
Genesis,37,20,Narrative,20540,חֲלֹמֹתָֽיו׃,XLWM/,subs,חֲלֹמֹתָֽיו,dream,XLWM/
Genesis,37,21,Narrative,20542,יִּשְׁמַ֣ע,CM<[,verb,יִּשְׁמַ֣ע,hear,CM<[
Genesis,37,21,Narrative,20545,יַּצִּלֵ֖הוּ,NYL[,verb,יַּצִּלֵ֖הוּ,deliver,NYL[
Genesis,37,21,Narrative,20547,יָּדָ֑ם,JD/,subs,יָּדָ֑ם,hand,JD/
Genesis,37,21,Narrative,20549,יֹּ֕אמֶר,>MR[,verb,יֹּ֕אמֶר,say,>MR[
Genesis,37,21,Narrative,20551,נַכֶּ֖נּוּ,NKH[,verb,נַכֶּ֖נּוּ,strike,NKH[
Genesis,37,21,Narrative,20552,נָֽפֶשׁ׃,NPC/,subs,נָֽפֶשׁ,soul,NPC/
Genesis,37,22,Narrative,20554,יֹּ֨אמֶר,>MR[,verb,יֹּ֨אמֶר,say,>MR[
Genesis,37,22,Narrative,20558,תִּשְׁפְּכוּ־,CPK[,verb,תִּשְׁפְּכוּ,pour,CPK[
Genesis,37,22,Narrative,20559,דָם֒,DM/,subs,דָם֒,blood,DM/
Genesis,37,22,Narrative,20560,הַשְׁלִ֣יכוּ,CLK[,verb,הַשְׁלִ֣יכוּ,throw,CLK[
Genesis,37,22,Narrative,20564,בֹּ֤ור,BWR/,subs,בֹּ֤ור,cistern,BWR/
Genesis,37,22,Narrative,20570,מִּדְבָּ֔ר,MDBR/,subs,מִּדְבָּ֔ר,desert,MDBR/
Genesis,37,22,Narrative,20572,יָ֖ד,JD/,subs,יָ֖ד,hand,JD/
Genesis,37,22,Narrative,20574,תִּשְׁלְחוּ־,CLX[,verb,תִּשְׁלְחוּ,send,CLX[
Genesis,37,22,Narrative,20577,הַצִּ֤יל,NYL[,verb,הַצִּ֤יל,deliver,NYL[
Genesis,37,22,Narrative,20580,יָּדָ֔ם,JD/,subs,יָּדָ֔ם,hand,JD/
Genesis,37,22,Narrative,20582,הֲשִׁיבֹ֖ו,CWB[,verb,הֲשִׁיבֹ֖ו,return,CWB[
Genesis,37,22,Narrative,20584,אָבִֽיו׃,>B/,subs,אָבִֽיו,father,>B/
Genesis,37,23,Narrative,20586,יְהִ֕י,HJH[,verb,יְהִ֕י,be,HJH[
Genesis,37,23,Narrative,20589,בָּ֥א,BW>[,verb,בָּ֥א,come,BW>[
